edo_num,edo,tm,anio,s,ts,ssm
1,Aguascalientes,1,2004,0.1667,16.67,0
1,Aguascalientes,2,2004,0.1176,11.76,0
1,Aguascalientes,3,2004,0.0714,7.14,0
1,Aguascalientes,4,2004,0.098,9.8,0
1,Aguascalientes,1,2005,0.0667,6.67,0
1,Aguascalientes,2,2005,0.14,14,0
1,Aguascalientes,3,2005,0.04,4,0
1,Aguascalientes,4,2005,0.0682,6.82,0
1,Aguascalientes,1,2006,0.0896,8.96,0
1,Aguascalientes,2,2006,0.0816,8.16,0
1,Aguascalientes,3,2006,0.0444,4.44,0
1,Aguascalientes,4,2006,0.0857,8.57,0
1,Aguascalientes,1,2007,0.0192,1.92,0
1,Aguascalientes,2,2007,0.0893,8.93,0
1,Aguascalientes,3,2007,0.1053,10.53,0
1,Aguascalientes,4,2007,0.0847,8.47,0
1,Aguascalientes,1,2008,0.0469,4.69,0
1,Aguascalientes,2,2008,0.0156,1.56,0
1,Aguascalientes,3,2008,0.069,6.9,0
1,Aguascalientes,4,2008,0.0145,1.45,0
1,Aguascalientes,1,2009,0.0328,3.28,0
1,Aguascalientes,2,2009,0.0893,8.93,0
1,Aguascalientes,3,2009,0.0426,4.26,0
1,Aguascalientes,4,2009,0.0375,3.75,0
1,Aguascalientes,1,2010,0.0962,9.62,0
1,Aguascalientes,2,2010,0.0755,7.55,0
1,Aguascalientes,3,2010,0.1186,11.86,0
1,Aguascalientes,4,2010,0.0513,5.13,0
1,Aguascalientes,1,2011,0.1014,10.14,0
1,Aguascalientes,2,2011,0.1687,16.87,0
1,Aguascalientes,3,2011,0.14,14,0
1,Aguascalientes,4,2011,0.1364,13.64,0
1,Aguascalientes,1,2012,0.0952,9.52,0
1,Aguascalientes,2,2012,0.1774,17.74,0
1,Aguascalientes,3,2012,0.1096,10.96,0
1,Aguascalientes,4,2012,0.1757,17.57,0
1,Aguascalientes,1,2013,0.0893,8.93,0
1,Aguascalientes,2,2013,0.137,13.7,0
1,Aguascalientes,3,2013,0.1186,11.86,0
1,Aguascalientes,4,2013,0.1389,13.89,0
1,Aguascalientes,1,2014,0.1159,11.59,0
1,Aguascalientes,2,2014,0.2031,20.31,0
1,Aguascalientes,3,2014,0.1639,16.39,0
1,Aguascalientes,4,2014,0.1644,16.44,0
1,Aguascalientes,1,2015,0.1029,10.29,0
1,Aguascalientes,2,2015,0.08,8,0
1,Aguascalientes,3,2015,0.1549,15.49,0
1,Aguascalientes,4,2015,0.1605,16.05,0
1,Aguascalientes,1,2016,0.1286,12.86,0
1,Aguascalientes,2,2016,0.1803,18.03,0
1,Aguascalientes,3,2016,0.15,15,0
1,Aguascalientes,4,2016,0.0986,9.86,0
1,Aguascalientes,1,2017,0.1772,17.72,0
1,Aguascalientes,2,2017,0.1692,16.92,0
1,Aguascalientes,3,2017,0.1111,11.11,0
1,Aguascalientes,4,2017,0.1549,15.49,0
1,Aguascalientes,1,2018,0.1803,18.03,0
1,Aguascalientes,2,2018,0.2308,23.08,0
1,Aguascalientes,3,2018,0.1081,10.81,0
1,Aguascalientes,4,2018,0.1154,11.54,0
1,Aguascalientes,1,2019,0.1207,12.07,0
1,Aguascalientes,2,2019,0.1944,19.44,0
1,Aguascalientes,3,2019,0.1774,17.74,0
1,Aguascalientes,4,2019,0.1667,16.67,0
1,Aguascalientes,1,2020,0.2029,20.29,0
1,Aguascalientes,2,2020,0.1558,15.58,0
1,Aguascalientes,3,2020,0.1818,18.18,0
1,Aguascalientes,4,2020,0.1839,18.39,0
2,Baja California,1,2004,0.0566,5.66,0
2,Baja California,2,2004,0.0432,4.32,0
2,Baja California,3,2004,0.0636,6.36,0
2,Baja California,4,2004,0.0368,3.68,0
2,Baja California,1,2005,0.0645,6.45,0
2,Baja California,2,2005,0.027,2.7,0
2,Baja California,3,2005,0.0319,3.19,0
2,Baja California,4,2005,0.0105,1.05,0
2,Baja California,1,2006,0.0429,4.29,0
2,Baja California,2,2006,0.0429,4.29,0
2,Baja California,3,2006,0.0422,4.22,0
2,Baja California,4,2006,0.0255,2.55,0
2,Baja California,1,2007,0.0364,3.64,0
2,Baja California,2,2007,0.0506,5.06,0
2,Baja California,3,2007,0.0351,3.51,0
2,Baja California,4,2007,0.011,1.1,0
2,Baja California,1,2008,0.0471,4.71,0
2,Baja California,2,2008,0.0872,8.72,0
2,Baja California,3,2008,0.0385,3.85,0
2,Baja California,4,2008,0.0129,1.29,0
2,Baja California,1,2009,0.0079,0.79,0
2,Baja California,2,2009,0.0286,2.86,0
2,Baja California,3,2009,0.0307,3.07,0
2,Baja California,4,2009,0.0142,1.42,0
2,Baja California,1,2010,0.0216,2.16,0
2,Baja California,2,2010,0.008,0.8,0
2,Baja California,3,2010,0.0248,2.48,0
2,Baja California,4,2010,0.0052,0.52,0
2,Baja California,1,2011,0.035,3.5,0
2,Baja California,2,2011,0.0508,5.08,0
2,Baja California,3,2011,0.0782,7.82,0
2,Baja California,4,2011,0.06,6,0
2,Baja California,1,2012,0.0446,4.46,0
2,Baja California,2,2012,0.0547,5.47,0
2,Baja California,3,2012,0.0275,2.75,0
2,Baja California,4,2012,0.0345,3.45,0
2,Baja California,1,2013,0.0335,3.35,0
2,Baja California,2,2013,0.0341,3.41,0
2,Baja California,3,2013,0.0492,4.92,0
2,Baja California,4,2013,0.0374,3.74,0
2,Baja California,1,2014,0.0764,7.64,0
2,Baja California,2,2014,0.0784,7.84,0
2,Baja California,3,2014,0.075,7.5,0
2,Baja California,4,2014,0.0455,4.55,0
2,Baja California,1,2015,0.0333,3.33,0
2,Baja California,2,2015,0.0865,8.65,0
2,Baja California,3,2015,0.0428,4.28,0
2,Baja California,4,2015,0.0521,5.21,0
2,Baja California,1,2016,0.0365,3.65,0
2,Baja California,2,2016,0.0503,5.03,0
2,Baja California,3,2016,0.06,6,0
2,Baja California,4,2016,0.0631,6.31,0
2,Baja California,1,2017,0.0342,3.42,0
2,Baja California,2,2017,0.0508,5.08,0
2,Baja California,3,2017,0.0469,4.69,0
2,Baja California,4,2017,0.0412,4.12,0
2,Baja California,1,2018,0.0391,3.91,0
2,Baja California,2,2018,0.0561,5.61,0
2,Baja California,3,2018,0.0833,8.33,0
2,Baja California,4,2018,0.0324,3.24,0
2,Baja California,1,2019,0.0221,2.21,0
2,Baja California,2,2019,0.0417,4.17,0
2,Baja California,3,2019,0.045,4.5,0
2,Baja California,4,2019,0.0271,2.71,0
2,Baja California,1,2020,0.0463,4.63,0
2,Baja California,2,2020,0.0279,2.79,0
2,Baja California,3,2020,0.0131,1.31,0
2,Baja California,4,2020,0.0065,0.65,0
3,Baja California Sur,1,2004,0.1,10,0
3,Baja California Sur,2,2004,0.2174,21.74,0
3,Baja California Sur,3,2004,0.1111,11.11,0
3,Baja California Sur,4,2004,0.1,10,0
3,Baja California Sur,1,2005,0.0741,7.41,0
3,Baja California Sur,2,2005,0.05,5,0
3,Baja California Sur,3,2005,0.1212,12.12,0
3,Baja California Sur,4,2005,0.0833,8.33,0
3,Baja California Sur,1,2006,0.0667,6.67,0
3,Baja California Sur,2,2006,0.0882,8.82,0
3,Baja California Sur,3,2006,0.0769,7.69,0
3,Baja California Sur,4,2006,0.1154,11.54,0
3,Baja California Sur,1,2007,0.0303,3.03,0
3,Baja California Sur,2,2007,0.1081,10.81,0
3,Baja California Sur,3,2007,0.1714,17.14,0
3,Baja California Sur,4,2007,0.087,8.7,0
3,Baja California Sur,1,2008,0.0645,6.45,0
3,Baja California Sur,2,2008,0.0222,2.22,0
3,Baja California Sur,3,2008,0.0714,7.14,0
3,Baja California Sur,4,2008,0.0465,4.65,0
3,Baja California Sur,1,2009,0.0476,4.76,0
3,Baja California Sur,2,2009,0.1538,15.38,0
3,Baja California Sur,3,2009,0.0968,9.68,0
3,Baja California Sur,4,2009,0.1154,11.54,0
3,Baja California Sur,1,2010,0.0476,4.76,0
3,Baja California Sur,2,2010,0.0938,9.38,0
3,Baja California Sur,3,2010,0.1481,14.81,0
3,Baja California Sur,4,2010,0.0857,8.57,0
3,Baja California Sur,1,2011,0.0645,6.45,0
3,Baja California Sur,2,2011,0.0435,4.35,0
3,Baja California Sur,3,2011,0,0,0
3,Baja California Sur,4,2011,0.1304,13.04,0
3,Baja California Sur,1,2012,0.0909,9.09,0
3,Baja California Sur,2,2012,0.25,25,0
3,Baja California Sur,3,2012,0.0526,5.26,0
3,Baja California Sur,4,2012,0.1,10,0
3,Baja California Sur,1,2013,0.16,16,0
3,Baja California Sur,2,2013,0.2083,20.83,0
3,Baja California Sur,3,2013,0.1471,14.71,0
3,Baja California Sur,4,2013,0.04,4,0
3,Baja California Sur,1,2014,0.0968,9.68,0
3,Baja California Sur,2,2014,0.1429,14.29,0
3,Baja California Sur,3,2014,0.1379,13.79,0
3,Baja California Sur,4,2014,0.0909,9.09,0
3,Baja California Sur,1,2015,0.04,4,0
3,Baja California Sur,2,2015,0.1064,10.64,0
3,Baja California Sur,3,2015,0.0952,9.52,0
3,Baja California Sur,4,2015,0.0333,3.33,0
3,Baja California Sur,1,2016,0.0357,3.57,0
3,Baja California Sur,2,2016,0.1739,17.39,0
3,Baja California Sur,3,2016,0.0968,9.68,0
3,Baja California Sur,4,2016,0.1273,12.73,0
3,Baja California Sur,1,2017,0.0588,5.88,0
3,Baja California Sur,2,2017,0.0222,2.22,0
3,Baja California Sur,3,2017,0.05,5,0
3,Baja California Sur,4,2017,0.0645,6.45,0
3,Baja California Sur,1,2018,0.0435,4.35,0
3,Baja California Sur,2,2018,0.2121,21.21,0
3,Baja California Sur,3,2018,0.1515,15.15,0
3,Baja California Sur,4,2018,0.1351,13.51,0
3,Baja California Sur,1,2019,0.1463,14.63,0
3,Baja California Sur,2,2019,0.0968,9.68,0
3,Baja California Sur,3,2019,0.05,5,1
3,Baja California Sur,4,2019,0.0417,4.17,1
3,Baja California Sur,1,2020,0.1818,18.18,1
3,Baja California Sur,2,2020,0.0833,8.33,1
3,Baja California Sur,3,2020,0.0938,9.38,1
3,Baja California Sur,4,2020,0,0,1
4,Campeche,1,2004,0.1892,18.92,0
4,Campeche,2,2004,0.1795,17.95,0
4,Campeche,3,2004,0.1818,18.18,0
4,Campeche,4,2004,0.2,20,0
4,Campeche,1,2005,0.1154,11.54,0
4,Campeche,2,2005,0.0625,6.25,0
4,Campeche,3,2005,0.0698,6.98,0
4,Campeche,4,2005,0.1707,17.07,0
4,Campeche,1,2006,0.1351,13.51,0
4,Campeche,2,2006,0.1579,15.79,0
4,Campeche,3,2006,0.0769,7.69,0
4,Campeche,4,2006,0.1351,13.51,0
4,Campeche,1,2007,0.1944,19.44,0
4,Campeche,2,2007,0.1515,15.15,0
4,Campeche,3,2007,0.0789,7.89,0
4,Campeche,4,2007,0.2,20,0
4,Campeche,1,2008,0.2308,23.08,0
4,Campeche,2,2008,0.2051,20.51,0
4,Campeche,3,2008,0.1458,14.58,0
4,Campeche,4,2008,0.1515,15.15,0
4,Campeche,1,2009,0.0882,8.82,0
4,Campeche,2,2009,0.02,2,0
4,Campeche,3,2009,0.2045,20.45,0
4,Campeche,4,2009,0.1346,13.46,0
4,Campeche,1,2010,0.0333,3.33,0
4,Campeche,2,2010,0.125,12.5,0
4,Campeche,3,2010,0.1515,15.15,0
4,Campeche,4,2010,0.0588,5.88,0
4,Campeche,1,2011,0.1111,11.11,0
4,Campeche,2,2011,0.0976,9.76,0
4,Campeche,3,2011,0.2941,29.41,0
4,Campeche,4,2011,0.1739,17.39,0
4,Campeche,1,2012,0.0513,5.13,0
4,Campeche,2,2012,0.1132,11.32,0
4,Campeche,3,2012,0.1628,16.28,0
4,Campeche,4,2012,0.0278,2.78,0
4,Campeche,1,2013,0.2143,21.43,0
4,Campeche,2,2013,0.2222,22.22,0
4,Campeche,3,2013,0.1304,13.04,0
4,Campeche,4,2013,0.1163,11.63,0
4,Campeche,1,2014,0.1111,11.11,0
4,Campeche,2,2014,0.2045,20.45,0
4,Campeche,3,2014,0.1875,18.75,0
4,Campeche,4,2014,0.1379,13.79,0
4,Campeche,1,2015,0.1754,17.54,0
4,Campeche,2,2015,0.1842,18.42,0
4,Campeche,3,2015,0.1471,14.71,0
4,Campeche,4,2015,0.1698,16.98,0
4,Campeche,1,2016,0.2,20,0
4,Campeche,2,2016,0.1563,15.63,0
4,Campeche,3,2016,0.1429,14.29,1
4,Campeche,4,2016,0.0811,8.11,1
4,Campeche,1,2017,0.0889,8.89,1
4,Campeche,2,2017,0.1957,19.57,1
4,Campeche,3,2017,0.1509,15.09,1
4,Campeche,4,2017,0.1,10,1
4,Campeche,1,2018,0.08,8,1
4,Campeche,2,2018,0,0,1
4,Campeche,3,2018,0.1111,11.11,1
4,Campeche,4,2018,0.1163,11.63,1
4,Campeche,1,2019,0.1429,14.29,1
4,Campeche,2,2019,0.2093,20.93,1
4,Campeche,3,2019,0.1458,14.58,1
4,Campeche,4,2019,0.1707,17.07,1
4,Campeche,1,2020,0.1282,12.82,1
4,Campeche,2,2020,0.1026,10.26,1
4,Campeche,3,2020,0.1167,11.67,1
4,Campeche,4,2020,0.1364,13.64,1
5,Coahuila,1,2004,0.0875,8.75,0
5,Coahuila,2,2004,0.1222,12.22,0
5,Coahuila,3,2004,0.1023,10.23,0
5,Coahuila,4,2004,0.0805,8.05,0
5,Coahuila,1,2005,0.1628,16.28,0
5,Coahuila,2,2005,0.1009,10.09,0
5,Coahuila,3,2005,0.0693,6.93,0
5,Coahuila,4,2005,0.0984,9.84,0
5,Coahuila,1,2006,0.11,11,0
5,Coahuila,2,2006,0.0945,9.45,0
5,Coahuila,3,2006,0.14,14,0
5,Coahuila,4,2006,0.1327,13.27,0
5,Coahuila,1,2007,0.1075,10.75,0
5,Coahuila,2,2007,0.0901,9.01,0
5,Coahuila,3,2007,0.0567,5.67,0
5,Coahuila,4,2007,0.098,9.8,0
5,Coahuila,1,2008,0.0973,9.73,0
5,Coahuila,2,2008,0.1579,15.79,0
5,Coahuila,3,2008,0.1019,10.19,0
5,Coahuila,4,2008,0.1,10,0
5,Coahuila,1,2009,0.1024,10.24,0
5,Coahuila,2,2009,0.0889,8.89,0
5,Coahuila,3,2009,0.0676,6.76,0
5,Coahuila,4,2009,0.1016,10.16,0
5,Coahuila,1,2010,0.0933,9.33,0
5,Coahuila,2,2010,0.1,10,0
5,Coahuila,3,2010,0.0933,9.33,0
5,Coahuila,4,2010,0.04,4,0
5,Coahuila,1,2011,0.1181,11.81,0
5,Coahuila,2,2011,0.0711,7.11,0
5,Coahuila,3,2011,0.1026,10.26,0
5,Coahuila,4,2011,0.0625,6.25,0
5,Coahuila,1,2012,0.0707,7.07,0
5,Coahuila,2,2012,0.04,4,0
5,Coahuila,3,2012,0.0601,6.01,0
5,Coahuila,4,2012,0.0545,5.45,0
5,Coahuila,1,2013,0.0777,7.77,0
5,Coahuila,2,2013,0.0765,7.65,0
5,Coahuila,3,2013,0.0696,6.96,0
5,Coahuila,4,2013,0.0761,7.61,0
5,Coahuila,1,2014,0.0571,5.71,0
5,Coahuila,2,2014,0.0893,8.93,0
5,Coahuila,3,2014,0.1053,10.53,0
5,Coahuila,4,2014,0.1131,11.31,1
5,Coahuila,1,2015,0.0861,8.61,1
5,Coahuila,2,2015,0.0548,5.48,1
5,Coahuila,3,2015,0.1324,13.24,1
5,Coahuila,4,2015,0.1705,17.05,1
5,Coahuila,1,2016,0.1417,14.17,1
5,Coahuila,2,2016,0.0821,8.21,1
5,Coahuila,3,2016,0.1031,10.31,1
5,Coahuila,4,2016,0.1587,15.87,1
5,Coahuila,1,2017,0.1364,13.64,1
5,Coahuila,2,2017,0.1357,13.57,1
5,Coahuila,3,2017,0.1348,13.48,1
5,Coahuila,4,2017,0.1636,16.36,1
5,Coahuila,1,2018,0.1491,14.91,1
5,Coahuila,2,2018,0.1765,17.65,1
5,Coahuila,3,2018,0.122,12.2,1
5,Coahuila,4,2018,0.1389,13.89,1
5,Coahuila,1,2019,0.1349,13.49,1
5,Coahuila,2,2019,0.1301,13.01,1
5,Coahuila,3,2019,0.1603,16.03,1
5,Coahuila,4,2019,0.2443,24.43,1
5,Coahuila,1,2020,0.0923,9.23,1
5,Coahuila,2,2020,0.2233,22.33,1
5,Coahuila,3,2020,0.1034,10.34,1
5,Coahuila,4,2020,0.1471,14.71,1
6,Colima,1,2004,0.0909,9.09,0
6,Colima,2,2004,0.1818,18.18,0
6,Colima,3,2004,0.0345,3.45,0
6,Colima,4,2004,0.0667,6.67,0
6,Colima,1,2005,0.0435,4.35,0
6,Colima,2,2005,0.05,5,0
6,Colima,3,2005,0.0714,7.14,0
6,Colima,4,2005,0,0,0
6,Colima,1,2006,0.0741,7.41,0
6,Colima,2,2006,0.1111,11.11,0
6,Colima,3,2006,0.0333,3.33,0
6,Colima,4,2006,0.1481,14.81,0
6,Colima,1,2007,0,0,0
6,Colima,2,2007,0.25,25,0
6,Colima,3,2007,0,0,0
6,Colima,4,2007,0.0323,3.23,0
6,Colima,1,2008,0.04,4,0
6,Colima,2,2008,0.0667,6.67,0
6,Colima,3,2008,0.0385,3.85,0
6,Colima,4,2008,0.1,10,0
6,Colima,1,2009,0.0476,4.76,0
6,Colima,2,2009,0,0,0
6,Colima,3,2009,0.0909,9.09,0
6,Colima,4,2009,0.069,6.9,0
6,Colima,1,2010,0.069,6.9,0
6,Colima,2,2010,0.0857,8.57,0
6,Colima,3,2010,0.1538,15.38,0
6,Colima,4,2010,0.0313,3.13,0
6,Colima,1,2011,0.2258,22.58,0
6,Colima,2,2011,0.0889,8.89,0
6,Colima,3,2011,0,0,0
6,Colima,4,2011,0.1429,14.29,0
6,Colima,1,2012,0.0909,9.09,0
6,Colima,2,2012,0.0727,7.27,0
6,Colima,3,2012,0.0263,2.63,0
6,Colima,4,2012,0.0238,2.38,0
6,Colima,1,2013,0.1333,13.33,0
6,Colima,2,2013,0.0303,3.03,0
6,Colima,3,2013,0.0263,2.63,0
6,Colima,4,2013,0.0667,6.67,0
6,Colima,1,2014,0.0286,2.86,0
6,Colima,2,2014,0.1143,11.43,0
6,Colima,3,2014,0.0571,5.71,0
6,Colima,4,2014,0.0857,8.57,0
6,Colima,1,2015,0.0938,9.38,0
6,Colima,2,2015,0.0588,5.88,0
6,Colima,3,2015,0.0789,7.89,0
6,Colima,4,2015,0.0377,3.77,0
6,Colima,1,2016,0.0615,6.15,0
6,Colima,2,2016,0.0735,7.35,0
6,Colima,3,2016,0.0317,3.17,1
6,Colima,4,2016,0.0533,5.33,1
6,Colima,1,2017,0.0317,3.17,1
6,Colima,2,2017,0.0694,6.94,1
6,Colima,3,2017,0.0267,2.67,1
6,Colima,4,2017,0.0128,1.28,1
6,Colima,1,2018,0.1034,10.34,1
6,Colima,2,2018,0.0429,4.29,1
6,Colima,3,2018,0.0208,2.08,1
6,Colima,4,2018,0.0154,1.54,1
6,Colima,1,2019,0.037,3.7,1
6,Colima,2,2019,0.0282,2.82,1
6,Colima,3,2019,0.0274,2.74,1
6,Colima,4,2019,0.0247,2.47,1
6,Colima,1,2020,0.013,1.3,1
6,Colima,2,2020,0.0323,3.23,1
6,Colima,3,2020,0.0385,3.85,1
6,Colima,4,2020,0.0196,1.96,1
7,Chiapas,1,2004,0.0172,1.72,0
7,Chiapas,2,2004,0.0348,3.48,0
7,Chiapas,3,2004,0.0451,4.51,0
7,Chiapas,4,2004,0.0258,2.58,0
7,Chiapas,1,2005,0.0251,2.51,0
7,Chiapas,2,2005,0.0482,4.82,0
7,Chiapas,3,2005,0.0606,6.06,0
7,Chiapas,4,2005,0.0451,4.51,0
7,Chiapas,1,2006,0.0572,5.72,0
7,Chiapas,2,2006,0.061,6.1,0
7,Chiapas,3,2006,0.0192,1.92,0
7,Chiapas,4,2006,0.0256,2.56,0
7,Chiapas,1,2007,0.0037,0.37,0
7,Chiapas,2,2007,0.003,0.3,0
7,Chiapas,3,2007,0.0066,0.66,0
7,Chiapas,4,2007,0.0133,1.33,0
7,Chiapas,1,2008,0.0392,3.92,0
7,Chiapas,2,2008,0.0128,1.28,0
7,Chiapas,3,2008,0.0122,1.22,0
7,Chiapas,4,2008,0.0351,3.51,0
7,Chiapas,1,2009,0.0476,4.76,0
7,Chiapas,2,2009,0.0698,6.98,0
7,Chiapas,3,2009,0.0386,3.86,0
7,Chiapas,4,2009,0.0472,4.72,0
7,Chiapas,1,2010,0.0132,1.32,0
7,Chiapas,2,2010,0.0322,3.22,0
7,Chiapas,3,2010,0,0,0
7,Chiapas,4,2010,0.0336,3.36,0
7,Chiapas,1,2011,0.1006,10.06,0
7,Chiapas,2,2011,0.064,6.4,0
7,Chiapas,3,2011,0.0844,8.44,0
7,Chiapas,4,2011,0.0704,7.04,0
7,Chiapas,1,2012,0.0456,4.56,0
7,Chiapas,2,2012,0.065,6.5,0
7,Chiapas,3,2012,0.0971,9.71,0
7,Chiapas,4,2012,0.081,8.1,0
7,Chiapas,1,2013,0.0921,9.21,0
7,Chiapas,2,2013,0.0873,8.73,0
7,Chiapas,3,2013,0.118,11.8,0
7,Chiapas,4,2013,0.0544,5.44,0
7,Chiapas,1,2014,0.1079,10.79,0
7,Chiapas,2,2014,0.095,9.5,0
7,Chiapas,3,2014,0.1091,10.91,0
7,Chiapas,4,2014,0.0985,9.85,0
7,Chiapas,1,2015,0.1093,10.93,0
7,Chiapas,2,2015,0.1006,10.06,0
7,Chiapas,3,2015,0.0896,8.96,0
7,Chiapas,4,2015,0.0922,9.22,0
7,Chiapas,1,2016,0.0938,9.38,0
7,Chiapas,2,2016,0.1061,10.61,0
7,Chiapas,3,2016,0.0564,5.64,0
7,Chiapas,4,2016,0.0828,8.28,0
7,Chiapas,1,2017,0.1003,10.03,0
7,Chiapas,2,2017,0.0613,6.13,0
7,Chiapas,3,2017,0.0935,9.35,0
7,Chiapas,4,2017,0.0818,8.18,0
7,Chiapas,1,2018,0.0322,3.22,0
7,Chiapas,2,2018,0.0318,3.18,0
7,Chiapas,3,2018,0.0456,4.56,0
7,Chiapas,4,2018,0.0359,3.59,0
7,Chiapas,1,2019,0.0526,5.26,0
7,Chiapas,2,2019,0.0651,6.51,0
7,Chiapas,3,2019,0.0515,5.15,0
7,Chiapas,4,2019,0.0802,8.02,0
7,Chiapas,1,2020,0.0547,5.47,0
7,Chiapas,2,2020,0.072,7.2,0
7,Chiapas,3,2020,0.0574,5.74,0
7,Chiapas,4,2020,0.0458,4.58,0
8,Chihuahua,1,2004,0.0551,5.51,0
8,Chihuahua,2,2004,0.0833,8.33,0
8,Chihuahua,3,2004,0.0769,7.69,0
8,Chihuahua,4,2004,0.0855,8.55,0
8,Chihuahua,1,2005,0.0734,7.34,0
8,Chihuahua,2,2005,0.1009,10.09,0
8,Chihuahua,3,2005,0.1244,12.44,0
8,Chihuahua,4,2005,0.0766,7.66,0
8,Chihuahua,1,2006,0.0892,8.92,0
8,Chihuahua,2,2006,0.0794,7.94,0
8,Chihuahua,3,2006,0.113,11.3,0
8,Chihuahua,4,2006,0.0528,5.28,0
8,Chihuahua,1,2007,0.0539,5.39,0
8,Chihuahua,2,2007,0.0891,8.91,0
8,Chihuahua,3,2007,0.0453,4.53,0
8,Chihuahua,4,2007,0.048,4.8,0
8,Chihuahua,1,2008,0.0498,4.98,0
8,Chihuahua,2,2008,0.054,5.4,0
8,Chihuahua,3,2008,0.0352,3.52,0
8,Chihuahua,4,2008,0.0381,3.81,0
8,Chihuahua,1,2009,0.0388,3.88,0
8,Chihuahua,2,2009,0.0532,5.32,0
8,Chihuahua,3,2009,0.0438,4.38,0
8,Chihuahua,4,2009,0.0305,3.05,0
8,Chihuahua,1,2010,0.0282,2.82,0
8,Chihuahua,2,2010,0.0284,2.84,0
8,Chihuahua,3,2010,0.0242,2.42,0
8,Chihuahua,4,2010,0.024,2.4,0
8,Chihuahua,1,2011,0.0208,2.08,0
8,Chihuahua,2,2011,0.0508,5.08,0
8,Chihuahua,3,2011,0.0493,4.93,0
8,Chihuahua,4,2011,0.0478,4.78,0
8,Chihuahua,1,2012,0.0326,3.26,0
8,Chihuahua,2,2012,0.0523,5.23,0
8,Chihuahua,3,2012,0.0562,5.62,0
8,Chihuahua,4,2012,0.0774,7.74,0
8,Chihuahua,1,2013,0.0637,6.37,0
8,Chihuahua,2,2013,0.0758,7.58,0
8,Chihuahua,3,2013,0.0918,9.18,0
8,Chihuahua,4,2013,0.0725,7.25,0
8,Chihuahua,1,2014,0.0865,8.65,0
8,Chihuahua,2,2014,0.109,10.9,0
8,Chihuahua,3,2014,0.1176,11.76,0
8,Chihuahua,4,2014,0.0843,8.43,0
8,Chihuahua,1,2015,0.101,10.1,0
8,Chihuahua,2,2015,0.128,12.8,0
8,Chihuahua,3,2015,0.0939,9.39,0
8,Chihuahua,4,2015,0.1245,12.45,0
8,Chihuahua,1,2016,0.1536,15.36,0
8,Chihuahua,2,2016,0.1498,14.98,0
8,Chihuahua,3,2016,0.1231,12.31,0
8,Chihuahua,4,2016,0.0962,9.62,0
8,Chihuahua,1,2017,0.1096,10.96,0
8,Chihuahua,2,2017,0.1117,11.17,0
8,Chihuahua,3,2017,0.115,11.5,0
8,Chihuahua,4,2017,0.0726,7.26,0
8,Chihuahua,1,2018,0.083,8.3,0
8,Chihuahua,2,2018,0.1478,14.78,0
